order_id;token_id;image_url;coin;amount_sold;updated_timestamp
210234305;77024;https://assets.illuvium-game.io/illuvidex/land/land-77024.svg;ETH;2.289;2022-06-22T09:04:53.806675Z
210234207;24295;https://assets.illuvium-game.io/illuvidex/land/land-24295.svg;ETH;2.31;2022-06-22T09:04:29.530292Z
210234092;9464;https://assets.illuvium-game.io/illuvidex/land/land-9464.svg;ETH;2.3415;2022-06-22T09:03:56.122534Z
210234024;39855;https://assets.illuvium-game.io/illuvidex/land/land-39855.svg;ETH;2.415;2022-06-22T09:03:32.935197Z
210221181;23728;https://assets.illuvium-game.io/illuvidex/land/land-23728.svg;ETH;2.1;2022-06-22T07:53:19.408676Z
210221006;70262;https://assets.illuvium-game.io/illuvidex/land/land-70262.svg;ETH;0.848;2022-06-22T07:52:10.435078Z
210220688;97126;https://assets.illuvium-game.io/illuvidex/land/land-97126.svg;ETH;2.332;2022-06-22T07:50:00.172116Z
210213552;10304;https://assets.illuvium-game.io/illuvidex/land/land-10304.svg;ETH;2.1;2022-06-22T07:08:01.007328Z
210209381;22770;https://assets.illuvium-game.io/illuvidex/land/land-22770.svg;ETH;3.276;2022-06-22T06:43:08.960613Z
210208477;68866;https://assets.illuvium-game.io/illuvidex/land/land-68866.svg;USDC;2100.0;2022-06-22T06:37:59.997649Z
210208316;58825;https://assets.illuvium-game.io/illuvidex/land/land-58825.svg;ETH;1.9425;2022-06-22T06:37:06.331553Z
210208043;70581;https://assets.illuvium-game.io/illuvidex/land/land-70581.svg;USDC;2100.0;2022-06-22T06:35:27.35947Z
210189852;47690;https://assets.illuvium-game.io/illuvidex/land/land-47690.svg;ETH;1.575;2022-06-22T04:43:06.397143Z
210189734;41686;https://assets.illuvium-game.io/illuvidex/land/land-41686.svg;ETH;1.575;2022-06-22T04:42:17.976423Z
210186108;46164;https://assets.illuvium-game.io/illuvidex/land/land-46164.svg;ETH;2.82345;2022-06-22T04:25:12.58957Z
210182005;97133;https://assets.illuvium-game.io/illuvidex/land/land-97133.svg;ETH;1.06;2022-06-22T03:52:43.343182Z
